entry_time,direction,entry_price,entry_action,PDH,PDL,first_break_above_PDH,first_break_below_PDL,break_above_PDH,break_below_PDL,near_PDH,near_PDL,bias_long,bias_short,trend_1h_up,trend_4h_up,is_rth,is_eth,setup_type,bias_alignment,exit_time,exit_price,pnl,exit_action,exit_reason
2025-06-13 11:13:00-04:00,LONG,6008.5,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 11:14:00-04:00,6007.25,-67.5,3,agent_exit
2025-06-13 11:15:00-04:00,LONG,6009.0,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 11:16:00-04:00,6009.0,-5.0,3,agent_exit
2025-06-13 11:19:00-04:00,LONG,6010.5,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 11:20:00-04:00,6009.25,-67.5,3,agent_exit
2025-06-13 11:21:00-04:00,LONG,6010.25,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 11:22:00-04:00,6016.75,320.0,3,agent_exit
2025-06-13 11:24:00-04:00,LONG,6012.5,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 11:25:00-04:00,6012.25,-17.5,3,agent_exit
2025-06-13 11:26:00-04:00,LONG,6012.0,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 11:27:00-04:00,6014.75,132.5,3,agent_exit
2025-06-13 13:10:00-04:00,LONG,6012.5,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 13:11:00-04:00,6010.75,-92.5,3,agent_exit
2025-06-13 13:12:00-04:00,LONG,6012.5,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 13:13:00-04:00,6014.75,107.5,3,agent_exit
2025-06-13 13:14:00-04:00,LONG,6011.25,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 13:15:00-04:00,6007.75,-180.0,3,agent_exit
2025-06-13 13:20:00-04:00,LONG,6012.25,1,6051.25,6008.5,0,0,0,0,0,1,0,0,1,0,1,0,other,neutral,2025-06-13 13:21:00-04:00,6014.5,107.5,3,agent_exit
